N.,Exp
牌價,金融商品及有價證券的牌告價格，如外匯、期貨等金融商品都有所謂牌價。
概念性驗證,Proof of Concept，在開發新產品或導入新技術之前，先做一個小規模的實驗，以確定想法的可行性。透過POC，我們可以快速地驗證構想是否可行，並評估其可能性。這有助於降低風險，避免浪費時間和資源在不可行的方向上。
催告改善,在合約或其他法律關係中，一方因對方未能適當履行其義務或行為存在爭議，而向對方發出正式的通知，要求其在指定的期限內改正或提高履約標準的行為。
跳票,支票不能兌現而遭退票的情形。
已消耗之人天,一個用於項目管理和工作量衡量的術語，表示在一個項目或任務上已經使用的工作天數，通常以人計算。
代理人,被指定或被授權代表他人或組織行事的個人。在法律、商業及其他組織結構中，代表人具有在特定情況下代理他人或組織做出決策和行動的權力。這包括但不限於簽署合約、參加會議、進行談判、處理日常運營事宜等。
承攬人,在承攬合約中接受工作任務並承諾完成特定工作或提供服務的一方。
履行輔助人,被合同當事人委托，協助履行合同職責的第三方。不同於代理人，履行輔助人不具有代表合同當事人的法律權力，其角色僅限於技術或實際的協助。
協力義務,在合約或其他法律關係中，一方有義務協助或合作以促進合約的順利執行，這種義務通常不以直接履行合約條款的形式表現，而是透過支持和促進合約目的的達成來體現。
標的,在金融交易中，被交易的資產或商品。
日曆天,無論是假日、週末或工作日，每一天都算作一個日曆天。
即期支票,這類支票不需要等候任何到期日，只要在銀行的營業時間內，都可以拿去銀行兌現或存入賬戶。
牌告基準利率,銀行或金融機構公開宣布的標準貸款或存款利率。
回扣,在交易或購買過程中，賣方返還給買方或中間人的一部分款項，通常作為交易的獎勵或誘因。
受經濟制裁者,指被國際社會或一個國家施加經濟制裁的個人、公司或國家。相關制裁通常包含限制其參與國際貿易、金融交易或資產使用，對其經濟活動造成影響。
資恐,一般不特定民眾、法人、 團體，因特殊理念、利益而資助特定恐怖活動
轉包商,指在收到主要合約後，將部分工作或項目分包給其他公司的承包商。
